ID	RH_En_Col_0_DT_2	RH_En_Col_0_DT_3	RH_En_Col_0_DT_6	RH_En_gl2_DT_1	RH_En_gl2_DT_4	RH_En_gl2_DT_6	RH_En_rsl2rsl4_DT_1	RH_En_rsl2rsl4_DT_3	RH_En_rsl2rsl4_DT_5	RH_Rhi_Col_0_DT_2	RH_Rhi_Col_0_DT_3	RH_Rhi_Col_0_DT_6	RH_Rhi_gl2_DT_1	RH_Rhi_gl2_DT_4	RH_Rhi_gl2_DT_6	RH_Rhi_rsl2rsl4_DT_1	RH_Rhi_rsl2rsl4_DT_3	RH_Rhi_rsl2rsl4_DT_5
K00076	36.322445	30.361663	30.772365	49.043312	39.741908	33.16374	45.615852	46.940207	43.042697	32.766077	33.601756	41.512223	31.982466	48.220048	34.603548	38.78366	27.444998	28.973381
K00077	229.27726	297.273218	268.91475	251.560107	259.395208	270.30523	277.844404	303.703655	298.653162	300.295838	273.228256	277.236401	260.195054	286.994748	295.129805	277.931628	287.168867	282.59324
K00078	0.258241	0.472363	0.227388	0	1.154427	2.455508	1.203464	2.110754	0.042115	0.796651	0.684182	0.920789	0.577501	0.42114	0.835169	0.809376	1.197603	0.840028
K00079	0.29494	5.623805	0.066771	0.578449	0.155033	0	3.267821	0.887952	0.285821	2.048549	2.48447	0.96485	3.418798	1.179523	1.602123	2.18251	1.954921	1.89814
K00081	0.529023	0.062111	0.425638	0	0.311095	0.242483	0.789431	1.288833	0.758684	0.094067	0.85464	0.278008	0.468768	0.416902	0.753381	0.231467	0.644168	0.442188
K00082	30.133201	44.333701	30.122446	34.658731	37.671315	30.618084	44.178304	34.725482	47.428401	71.640432	84.231431	82.559156	77.76111	58.893266	78.988765	80.531949	59.05723	61.923463
K00083	0.364997	0.851313	1.24658	0.270056	4.53697	4.687873	2.435916	0.796741	4.251543	1.629992	0.778512	1.406178	1.28454	0.930431	1.45176	2.310685	1.223854	2.004651
K00084	0	0	0	0	0	0	0	0	0	0.185627	0.061953	0.061988	0	0	0	0	0.157225	0
K00085	0	0	0	0	0.075543	0	0	0.350671	0	0.080111	0.077291	0	0.046212	0.15296	0.048041	0.153548	0.112347	0.124288
K00086	1.563665	2.720188	4.13349	3.723705	2.249844	3.833232	2.922199	4.067891	0.696644	14.620505	16.341465	13.412811	16.610201	11.258911	14.360379	16.574126	12.21677	12.327434
K00087	21.286202	44.02861	21.707027	33.361534	20.372021	28.379113	54.142237	60.439633	48.557793	65.868472	55.392233	56.956715	50.720694	70.489376	75.110835	58.018533	101.041181	80.443346
K00088	282.348223	276.127658	284.817068	281.491678	253.638999	286.389411	268.601128	277.903285	277.329441	317.849447	320.788726	346.077582	325.616913	305.842248	334.661214	344.117394	286.149115	316.981763
K00089	0	0.666101	0.114671	0.585466	0	0	0.486716	0	0	0.085113	0.465083	0.34432	0.038352	0.237045	0.254845	0.256156	0.47915	0.214828
K00090	44.859325	37.393407	67.307858	58.759049	63.616979	48.236527	38.283879	45.847389	50.478991	38.682163	44.016284	40.302787	50.561834	72.420792	34.673205	44.112552	37.29081	44.246262
K00091	79.914078	97.251143	82.551618	79.289905	87.08083	76.110005	109.659737	75.482755	104.382674	109.531216	105.449389	105.699858	108.110735	82.244774	121.867245	110.100519	125.780379	99.001918
K00094	0	0	0	0	0	0	0.329923	0	0	0.298201	0.821512	0.540589	0.450932	0.115398	0.952768	0.770846	0.825541	0.322538
K00096	9.816898	29.913868	7.275315	17.473312	20.333677	18.839227	20.244027	8.35489	11.365231	34.299281	41.300151	33.093548	40.524822	29.371944	28.711913	40.773502	28.926612	27.714263
K00097	214.30659	153.11848	187.787186	191.068088	187.338036	225.416765	159.35729	217.518181	169.224116	117.178255	128.117563	151.540467	119.517077	144.729036	120.486525	137.999698	124.40535	131.11775
K00098	54.444191	65.444749	61.830843	50.237836	37.945426	45.640701	42.586334	43.032396	62.969373	28.314366	37.227533	34.579594	28.274042	31.207834	30.501333	33.303496	29.232797	20.849482
K00099	156.500934	185.307718	161.035452	168.125584	159.001796	175.534122	167.13364	170.203079	138.928184	164.533091	189.57412	198.742008	185.714229	181.62025	191.824232	186.08186	158.84555	165.643241
K00100	0.428952	1.062852	0.556711	1.207934	0.4206	7.250917	0.623775	0.341967	0.256712	1.122912	2.624305	1.530212	2.061676	1.271988	1.956677	2.032592	1.496601	2.167884
K00101	226.43697	220.996352	205.737508	200.140142	213.708865	197.51827	210.732907	240.283841	214.026476	193.005125	194.802629	230.64237	183.027414	204.569678	212.924479	207.84142	203.68763	208.98331
K00102	329.164218	285.565683	303.571162	308.657357	300.692698	290.225488	282.747364	299.082499	293.533499	165.390177	170.04774	214.603799	171.362168	197.957094	182.184709	184.1753	168.25308	172.41687
K00103	39.351202	37.079345	30.339752	42.236445	30.874613	36.714472	33.192415	26.466916	39.449816	60.613835	57.126738	62.84121	72.744109	47.495062	59.657888	61.720868	34.502872	51.293704
K00104	299.425524	290.630447	262.361485	276.696998	286.637632	284.319165	307.91931	301.711998	348.113626	307.749772	316.061061	327.707686	300.149218	319.649708	327.214236	326.003739	320.010132	317.074594
K00105	3.117533	4.762294	5.081423	3.131376	3.1005	5.677705	3.894798	0.639236	5.987976	3.125061	3.599596	4.307988	4.1702	4.284712	4.100838	3.646929	4.652454	4.216928
K00106	5.655113	14.97556	5.684865	8.91538	5.158154	12.952291	12.06066	7.36925	4.54047	16.352425	10.760948	12.151726	10.131178	14.07735	15.109205	13.39875	20.681444	17.584654
K00107	1.673028	0.311601	0.310964	0.151449	0	0	1.403394	0	0.584627	1.438909	0.851052	0.660033	1.797611	0.686296	1.604551	1.658274	1.31823	1.210386
K00108	421.416666	433.705967	395.698296	448.802265	396.83934	452.595598	408.023503	473.704641	457.76495	414.879093	411.860943	444.197213	399.587564	486.998919	418.955827	431.954697	411.007786	431.065139
K00109	2.248639	8.044156	24.872233	4.236712	5.459536	5.87411	3.328175	3.723827	5.152141	9.971324	10.353069	8.687492	9.268314	9.193079	11.44425	9.341153	10.882112	9.789007
K00111	342.903674	344.024414	346.917301	334.650226	297.701064	351.49182	271.797297	299.369641	304.640669	294.425442	313.667573	339.531822	309.529612	366.705789	293.969638	319.325392	247.912287	265.877679
K00112	1.373969	5.656198	1.772479	2.189689	2.080239	2.543138	2.670429	0.460918	1.695756	16.033807	20.220812	14.772694	19.403293	11.682068	19.524784	18.924382	9.328864	12.986002
K00113	8.835659	13.084139	14.683966	10.958858	6.357907	7.407647	19.529417	23.322513	18.406143	32.78636	33.613189	26.239903	28.053044	21.026796	33.152532	30.54009	24.091245	29.417077
K00114	149.282202	293.088829	156.590666	201.296056	159.219839	167.165088	344.658035	296.365841	277.486614	310.106489	248.13981	289.14161	214.363007	259.108831	335.657792	270.934366	492.580953	385.10283
K00115	0.957012	6.215351	7.376307	11.3943	1.225446	6.001126	10.914714	29.868752	13.314963	6.720997	9.736735	8.752451	5.353881	4.928244	11.494626	8.743572	9.03877	13.790497
K00116	25.388731	38.784664	40.546062	36.954161	31.483751	39.101784	31.602366	39.642356	53.146559	45.863755	44.45738	38.734534	56.161203	60.038518	35.691048	42.839155	37.333322	63.427648
K00117	171.904361	244.023801	209.487128	206.268459	157.911278	192.618821	259.661437	293.449817	310.239606	237.794911	213.143016	229.654001	194.690733	231.841382	278.99136	225.588802	412.874358	317.200436
K00118	30.247892	12.492804	15.108775	18.329863	13.769436	24.122106	16.961237	11.401722	22.833678	11.36753	11.846919	10.786004	11.992691	9.657046	11.638877	10.702434	12.146611	17.974243
K00121	277.506719	301.038487	276.684115	256.79669	236.291782	281.520359	283.056796	263.280882	247.710071	248.164448	253.016315	279.420749	249.249181	264.9434	268.766691	275.714	273.233908	272.377984
K00122	76.659678	107.261897	77.671938	78.889621	67.259422	67.938877	96.14592	100.741718	122.907467	126.567059	118.089856	131.778646	110.036324	123.962388	133.894176	128.74359	143.780401	129.359066
