ID	Well1	Kingdom	Phylum	Class	Order	Family	Genus	Species	ID
Cupriavidus sp. 22B9	22_B9	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Unassigned	Cupriavidus sp. 22B9
Dyella sp. 22B10	22_B10	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dyella	Unassigned	Dyella sp. 22B10
Burkholderia-Caballeronia-Paraburkholderia sp. 22E11	22_E11	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	Unassigned	Burkholderia-Caballeronia-Paraburkholderia sp. 22E11
Massilia sp. 22G3	22_G3	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Unassigned	Massilia sp. 22G3
Rhizobiaceae_Unassigned sp. 25F3	25_F3	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobiaceae_Unassigned	Unassigned	Rhizobiaceae_Unassigned sp. 25F3
Devosia sp. 12A6	12_A6	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	Unassigned	Devosia sp. 12A6
Brevundimonas sp. 12H1	12_H1	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Unassigned	Brevundimonas sp. 12H1
Dyella sp. 9A7	9_A7	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dyella	Unassigned	Dyella sp. 9A7
Dechloromonas sp. 9B7	9_B7	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Dechloromonas	Unassigned	Dechloromonas sp. 9B7
Pelomonas sp. 9H10	9_H10	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Pelomonas	Unassigned	Pelomonas sp. 9H10
Comamonadaceae_Unassigned sp. 25H2	25_H2	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae_Unassigned	Unassigned	Comamonadaceae_Unassigned sp. 25H2
Arenimonas sp. 9F11	9_F11	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	s:uncultured_bacterium	Arenimonas sp. 9F11
Phyllobacterium sp. 9H8	9_H8	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Phyllobacterium	Unassigned	Phyllobacterium sp. 9H8
Labrys sp. 5D1	5_D1	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Labraceae	Labrys	Unassigned	Labrys sp. 5D1
Lysobacter sp. 19A3	19_A3	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	Unassigned	Lysobacter sp. 19A3
Sphingomonas sp. 9D10	9_D10	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned	Sphingomonas sp. 9D10
Rhodanobacteraceae_Unassigned sp. 5D9	5_D9	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacteraceae_Unassigned	Unassigned	Rhodanobacteraceae_Unassigned sp. 5D9
Pelomonas sp. 5H9	5_H9	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Pelomonas	Unassigned	Pelomonas sp. 5H9
Brevundimonas sp. 21B4	21_B4	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Unassigned	Brevundimonas sp. 21B4
Paracoccus sp. 21B11	21_B11	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Unassigned	Paracoccus sp. 21B11
Pseudorhodoplanes sp. 21E2	21_E2	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudorhodoplanes	Unassigned	Pseudorhodoplanes sp. 21E2
Stenotrophomonas sp. 21F2	21_F2	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Unassigned	Stenotrophomonas sp. 21F2
Luteibacter sp. 21F11	21_F11	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Luteibacter	Unassigned	Luteibacter sp. 21F11
Sphingobium sp. 10B6	10_B6	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Unassigned	Sphingobium sp. 10B6
Hydrogenophaga sp. 10B10	10_B10	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	Unassigned	Hydrogenophaga sp. 10B10
Pseudomonas sp. 10C1	10_C1	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned	Pseudomonas sp. 10C1
Pseudoxanthomonas sp. 10D9	10_D9	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	Unassigned	Pseudoxanthomonas sp. 10D9
Rhizobium sp. 1E5	1_E5	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Unassigned	Rhizobium sp. 1E5
Oxalobacteraceae_Unassigned sp. 1C4	1_C4	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalobacteraceae_Unassigned	Unassigned	Oxalobacteraceae_Unassigned sp. 1C4
Pseudoduganella sp. 1H4	1_H4	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Pseudoduganella	Unassigned	Pseudoduganella sp. 1H4
Pelomonas sp. 9C8	9_C8	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Pelomonas	Unassigned	Pelomonas sp. 9C8
Rhizobium sp. 4F10	4_F10	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Unassigned	Rhizobium sp. 4F10
Achromobacter sp. 19A5	19_A5	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Unassigned	Achromobacter sp. 19A5
