ASVID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV3444	Bacteria	Firmicutes	Paenibacillales	Paenibacillales	Paenibacillaceae	Paenibacillus	Paenibacillus_aceris
ASV3445	Bacteria	Proteobacteria	Xanthomonadales	Xanthomonadales	Xanthomonadaceae	Lysobacter	Unclassified
ASV3446	Bacteria	Bacteroidota	Sphingobacteriales	Sphingobacteriales	Sphingobacteriaceae	f_Sphingobacteriaceae|g_Unclassified	Unclassified
ASV3447	Bacteria	Actinobacteriota	MB-A2-108	MB-A2-108	MB-A2-108	MB-A2-108	uncultured_Streptomyces
ASV3448	Bacteria	Proteobacteria	Burkholderiales	Burkholderiales	Comamonadaceae	f_Comamonadaceae|g_Unclassified	Unclassified
ASV3449	Bacteria	Verrucomicrobiota	Pedosphaerales	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae	uncultured_Prosthecobacter
ASV3450	Bacteria	Verrucomicrobiota	Chthoniobacterales	Chthoniobacterales	Chthoniobacteraceae	Candidatus_Udaeobacter	uncultured_Luteolibacter
ASV3452	Bacteria	Myxococcota	MSB-4B10	MSB-4B10	MSB-4B10	MSB-4B10	uncultured_proteobacterium
ASV3454	Bacteria	Actinobacteriota	Gaiellales	Gaiellales	o_Gaiellales|f_uncultured	o_Gaiellales|f_|g_uncultured	uncultured_Firmicutes
ASV3455	Bacteria	Proteobacteria	Burkholderiales	Burkholderiales	Comamonadaceae	f_Comamonadaceae|g_Unclassified	Unclassified
ASV3457	Bacteria	Proteobacteria	Burkholderiales	Burkholderiales	Nitrosomonadaceae	f_Nitrosomonadaceae|g_Unclassified	Unclassified
ASV3458	Bacteria	NB1-j	NB1-j	NB1-j	NB1-j	NB1-j	uncultured_Desulfoglaeba
ASV3459	Bacteria	Proteobacteria	Burkholderiales	Burkholderiales	Rhodocyclaceae	f_Rhodocyclaceae|g_Unclassified	Unclassified
ASV3460	Bacteria	Actinobacteriota	Gaiellales	Gaiellales	Gaiellaceae	Gaiella	uncultured_Conexibacteraceae
ASV3461	Bacteria	Proteobacteria	Diplorickettsiales	Diplorickettsiales	Diplorickettsiaceae	Aquicella	Unclassified
ASV3462	Bacteria	Chloroflexi	C0119	C0119	C0119	C0119	uncultured_Chloroflexi
ASV3464	Bacteria	Bacteroidota	Flavobacteriales	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium_cheonanense
ASV3467	Bacteria	Acidobacteriota	c_Acidobacteriae|o_Unclassified	c_Acidobacteriae|o_Unclassified	c_Acidobacteriae|o_|f_Unclassified	c_Acidobacteriae|o_|f_|g_Unclassified	Unclassified
ASV3468	Bacteria	Proteobacteria	Burkholderiales	Burkholderiales	Oxalobacteraceae	f_Oxalobacteraceae|g_Unclassified	Unclassified
ASV3470	Bacteria	Spirochaetota	Leptospirales	Leptospirales	Leptospiraceae	Turneriella	metagenome
ASV3471	Bacteria	Bacteroidota	SJA-28	SJA-28	SJA-28	SJA-28	Chlorobi_bacterium
ASV3472	Bacteria	Bacteroidota	Chitinophagales	Chitinophagales	Chitinophagaceae	Flavisolibacter	Flavisolibacter_tropicus
ASV3474	Bacteria	Fibrobacterota	Fibrobacterales	Fibrobacterales	Fibrobacteraceae	possible_genus_04	Juncus_effusus
ASV3475	Bacteria	Verrucomicrobiota	Pedosphaerales	Pedosphaerales	Pedosphaeraceae	ADurb.Bin063-1	bacterium_Ellin515
ASV3476	Bacteria	Chloroflexi	Ktedonobacterales	Ktedonobacterales	Ktedonobacteraceae	G12-WMSP1	uncultured_Chloroflexi
ASV3477	Bacteria	Proteobacteria	Rhizobiales	Rhizobiales	Beijerinckiaceae	f_Beijerinckiaceae|g_Unclassified	Unclassified
ASV3478	Bacteria	Actinobacteriota	Solirubrobacterales	Solirubrobacterales	67-14	67-14	uncultured_Rubrobacteraceae
ASV3479	Bacteria	Actinobacteriota	Gaiellales	Gaiellales	o_Gaiellales|f_uncultured	o_Gaiellales|f_|g_uncultured	bacterium_Ellin6517
ASV3480	Bacteria	Actinobacteriota	Gaiellales	Gaiellales	o_Gaiellales|f_uncultured	o_Gaiellales|f_|g_uncultured	Unclassified
ASV3481	Bacteria	Proteobacteria	Burkholderiales	Burkholderiales	Nitrosomonadaceae	MND1	uncultured_Nitrosomonadaceae
ASV3482	Bacteria	Actinobacteriota	Streptomycetales	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces_regensis
ASV3484	Bacteria	Actinobacteriota	Gaiellales	Gaiellales	o_Gaiellales|f_Unclassified	o_Gaiellales|f_|g_Unclassified	Unclassified
ASV3486	Bacteria	Proteobacteria	Burkholderiales	Burkholderiales	TRA3-20	TRA3-20	uncultured_Burkholderiaceae
ASV3487	Bacteria	Proteobacteria	Burkholderiales	Burkholderiales	TRA3-20	TRA3-20	uncultured_Burkholderiales
