sample	variable	RCbray	processRcbray	bNTIvalue	processNTI	group	genotype	compartment	bNTIgroup
RH_Rhi_rsl2rsl4_DT_1	RH_Rhi_rsl2rsl4_DT_5	0.997997998	Dispersal_limitation	-0.942986602	stochastic	DT	rsl2rsl4	Rhi	RH_Rhi_DT_rsl2rsl4
RH_Rhi_rsl2rsl4_DT_1	RH_Rhi_rsl2rsl4_DT_6	1	Dispersal_limitation	-0.74842035	stochastic	DT	rsl2rsl4	Rhi	RH_Rhi_DT_rsl2rsl4
RH_Rhi_rsl2rsl4_DT_2	RH_Rhi_rsl2rsl4_DT_3	0.907907908	Drift	-1.781424916	stochastic	DT	rsl2rsl4	Rhi	RH_Rhi_DT_rsl2rsl4
RH_Rhi_rsl2rsl4_DT_2	RH_Rhi_rsl2rsl4_DT_5	1	Homogeneous_selection	-2.181788766	Homogeneous_selection	DT	rsl2rsl4	Rhi	RH_Rhi_DT_rsl2rsl4
RH_Rhi_rsl2rsl4_DT_2	RH_Rhi_rsl2rsl4_DT_6	1	Dispersal_limitation	-0.637881455	stochastic	DT	rsl2rsl4	Rhi	RH_Rhi_DT_rsl2rsl4
RH_Rhi_rsl2rsl4_DT_3	RH_Rhi_rsl2rsl4_DT_5	0.997997998	Dispersal_limitation	-1.702679146	stochastic	DT	rsl2rsl4	Rhi	RH_Rhi_DT_rsl2rsl4
RH_Rhi_rsl2rsl4_DT_3	RH_Rhi_rsl2rsl4_DT_6	1	Dispersal_limitation	-0.420062387	stochastic	DT	rsl2rsl4	Rhi	RH_Rhi_DT_rsl2rsl4
RH_Rhi_rsl2rsl4_DT_5	RH_Rhi_rsl2rsl4_DT_6	1	Dispersal_limitation	-1.203273544	stochastic	DT	rsl2rsl4	Rhi	RH_Rhi_DT_rsl2rsl4
RH_Rhi_rsl2rsl4_WT_1	RH_Rhi_rsl2rsl4_WT_2	0.93993994	Drift	-1.863977995	stochastic	WT	rsl2rsl4	Rhi	RH_Rhi_WT_rsl2rsl4
RH_Rhi_rsl2rsl4_WT_1	RH_Rhi_rsl2rsl4_WT_3	0.923923924	Drift	-1.527484078	stochastic	WT	rsl2rsl4	Rhi	RH_Rhi_WT_rsl2rsl4
RH_Rhi_rsl2rsl4_WT_1	RH_Rhi_rsl2rsl4_WT_5	0.94994995	Drift	-1.487792171	stochastic	WT	rsl2rsl4	Rhi	RH_Rhi_WT_rsl2rsl4
RH_Rhi_rsl2rsl4_WT_1	RH_Rhi_rsl2rsl4_WT_6	0.98998999	Dispersal_limitation	-0.950502499	stochastic	WT	rsl2rsl4	Rhi	RH_Rhi_WT_rsl2rsl4
RH_Rhi_rsl2rsl4_WT_2	RH_Rhi_rsl2rsl4_WT_3	0.957957958	Homogeneous_selection	-2.230691233	Homogeneous_selection	WT	rsl2rsl4	Rhi	RH_Rhi_WT_rsl2rsl4
RH_Rhi_rsl2rsl4_WT_2	RH_Rhi_rsl2rsl4_WT_5	0.983983984	Dispersal_limitation	-1.427389148	stochastic	WT	rsl2rsl4	Rhi	RH_Rhi_WT_rsl2rsl4
RH_Rhi_rsl2rsl4_WT_2	RH_Rhi_rsl2rsl4_WT_6	0.97997998	Homogeneous_selection	-2.202736706	Homogeneous_selection	WT	rsl2rsl4	Rhi	RH_Rhi_WT_rsl2rsl4
RH_Rhi_rsl2rsl4_WT_3	RH_Rhi_rsl2rsl4_WT_5	0.971971972	Dispersal_limitation	-1.46464073	stochastic	WT	rsl2rsl4	Rhi	RH_Rhi_WT_rsl2rsl4
RH_Rhi_rsl2rsl4_WT_3	RH_Rhi_rsl2rsl4_WT_6	0.479479479	Drift	-0.621942768	stochastic	WT	rsl2rsl4	Rhi	RH_Rhi_WT_rsl2rsl4
RH_Rhi_rsl2rsl4_WT_5	RH_Rhi_rsl2rsl4_WT_6	0.773773774	Drift	-0.57805737	stochastic	WT	rsl2rsl4	Rhi	RH_Rhi_WT_rsl2rsl4
