num	name	treat	genotype	pot	date	water_content
176	Dr2	drought	rsl2rsl4	2	11_07	0.437700046
177	Dr3	drought	rsl2rsl4	3	11_07	0.43941349
178	Dr4	drought	rsl2rsl4	4	11_07	0.427185615
179	Dr5	drought	rsl2rsl4	5	11_07	0.420748954
180	Dr6	drought	rsl2rsl4	6	11_07	0.416676224
181	Dr7	drought	rsl2rsl4	7	11_07	0.41509014
182	Dr8	drought	rsl2rsl4	8	11_07	0.437177078
183	Dr9	drought	rsl2rsl4	9	11_07	0.442693087
184	Dr10	drought	rsl2rsl4	10	11_07	0.482273625
185	Wg1	control	gl2	1	11_09	0.764796402
186	Wg2	control	gl2	2	11_09	0.814269536
187	Wg3	control	gl2	3	11_09	0.790379627
188	Wg4	control	gl2	4	11_09	0.804983996
189	Wg5	control	gl2	5	11_09	0.741406784
190	Wc1	control	Col-0	1	11_09	0.818501996
191	Wc2	control	Col-0	2	11_09	0.800022763
192	Wc3	control	Col-0	3	11_09	0.798815894
193	Wc4	control	Col-0	4	11_09	0.807611241
194	Wc5	control	Col-0	5	11_09	0.784601177
195	Wr1	control	rsl2rsl4	1	11_09	0.837077323
196	Wr2	control	rsl2rsl4	2	11_09	0.842440077
197	Wr3	control	rsl2rsl4	3	11_09	0.846027075
198	Wr4	control	rsl2rsl4	4	11_09	0.838230171
199	Wr5	control	rsl2rsl4	5	11_09	0.830696928
200	Dg1	drought	gl2	1	11_09	0.256283714
201	Dg2	drought	gl2	2	11_09	0.245936148
202	Dg3	drought	gl2	3	11_09	0.24270698
203	Dg4	drought	gl2	4	11_09	0.256244218
204	Dg5	drought	gl2	5	11_09	0.243310942
205	Dg6	drought	gl2	6	11_09	0.263466177
206	Dg7	drought	gl2	7	11_09	0.236857241
207	Dg8	drought	gl2	8	11_09	0.247737557
208	Dg9	drought	gl2	9	11_09	0.225780253
209	Dg10	drought	gl2	10	11_09	0.274208352
210	Dg11	drought	gl2	11	11_09	0.239056449
211	Dc1	drought	Col-0	1	11_09	0.266304962
212	Dc2	drought	Col-0	2	11_09	0.238620529
213	Dc3	drought	Col-0	3	11_09	0.226380012
214	Dc4	drought	Col-0	4	11_09	0.257840528
215	Dc5	drought	Col-0	5	11_09	0.247780468
216	Dc6	drought	Col-0	6	11_09	0.240649097
217	Dc7	drought	Col-0	7	11_09	0.226349063
218	Dc8	drought	Col-0	8	11_09	0.22898616
219	Dc9	drought	Col-0	9	11_09	0.232410611
220	Dc10	drought	Col-0	10	11_09	0.246687406
221	Dr1	drought	rsl2rsl4	1	11_09	0.297620429
222	Dr2	drought	rsl2rsl4	2	11_09	0.319387289
223	Dr3	drought	rsl2rsl4	3	11_09	0.309677419
224	Dr4	drought	rsl2rsl4	4	11_09	0.317993612
225	Dr5	drought	rsl2rsl4	5	11_09	0.304106799
226	Dr6	drought	rsl2rsl4	6	11_09	0.310012616
227	Dr7	drought	rsl2rsl4	7	11_09	0.299465836
228	Dr8	drought	rsl2rsl4	8	11_09	0.320690465
229	Dr9	drought	rsl2rsl4	9	11_09	0.310740824
230	Dr10	drought	rsl2rsl4	10	11_09	0.322794374
231	Wg1	control	gl2	1	11_11	0.691998106
232	Wg2	control	gl2	2	11_11	0.734201586
233	Wg3	control	gl2	3	11_11	0.715043622
234	Wg4	control	gl2	4	11_11	0.729995428
235	Wg5	control	gl2	5	11_11	0.664807649
236	Wc1	control	Col-0	1	11_11	0.781169289
237	Wc2	control	Col-0	2	11_11	0.726951969
238	Wc3	control	Col-0	3	11_11	0.715814642
239	Wc4	control	Col-0	4	11_11	0.733138173
240	Wc5	control	Col-0	5	11_11	0.718573243
241	Wr1	control	rsl2rsl4	1	11_11	0.759162923
242	Wr2	control	rsl2rsl4	2	11_11	0.77598546
243	Wr3	control	rsl2rsl4	3	11_11	0.782460271
244	Wr4	control	rsl2rsl4	4	11_11	0.766577633
245	Wr5	control	rsl2rsl4	5	11_11	0.766391564
246	Dg1	drought	gl2	1	11_11	0.209686675
247	Dg2	drought	gl2	2	11_11	0.205005263
248	Dg3	drought	gl2	3	11_11	0.202196764
249	Dg4	drought	gl2	4	11_11	0.211840888
250	Dg5	drought	gl2	5	11_11	0.202436525
251	Dg6	drought	gl2	6	11_11	0.217985529
252	Dg7	drought	gl2	7	11_11	0.197860347
253	Dg8	drought	gl2	8	11_11	0.208371041
254	Dg9	drought	gl2	9	11_11	0.192365704
255	Dg10	drought	gl2	10	11_11	0.228889399
256	Dg11	drought	gl2	11	11_11	0.202793099
257	Dc1	drought	Col-0	1	11_11	0.220526732
258	Dc2	drought	Col-0	2	11_11	0.199837436
259	Dc3	drought	Col-0	3	11_11	0.192794887
260	Dc4	drought	Col-0	4	11_11	0.214442773
261	Dc5	drought	Col-0	5	11_11	0.206618241
262	Dc6	drought	Col-0	6	11_11	0.201864426
263	Dc7	drought	Col-0	7	11_11	0.193723188
264	Dc8	drought	Col-0	8	11_11	0.192528412
265	Dc9	drought	Col-0	9	11_11	0.198269896
266	Dc10	drought	Col-0	10	11_11	0.204516649
267	Dr1	drought	rsl2rsl4	1	11_11	0.245966338
268	Dr2	drought	rsl2rsl4	2	11_11	0.267946959
269	Dr3	drought	rsl2rsl4	3	11_11	0.259237537
270	Dr4	drought	rsl2rsl4	4	11_11	0.270081628
271	Dr5	drought	rsl2rsl4	5	11_11	0.253988008
272	Dr6	drought	rsl2rsl4	6	11_11	0.261727262
273	Dr7	drought	rsl2rsl4	7	11_11	0.25183619
274	Dr8	drought	rsl2rsl4	8	11_11	0.266439643
275	Dr9	drought	rsl2rsl4	9	11_11	0.261089845
276	Dr10	drought	rsl2rsl4	10	11_11	0.269208416
