Plants, soil_type,group,treat,subgroup,genotype,weight
57,HS,DT,S,DT_S,gl2,72.4
58,HS,DT,S,DT_S,gl2,94.4
59,HS,DT,S,DT_S,gl2,92.3
60,HS,DT,S,DT_S,gl2,89.2
61,HS,DT,S,DT_S,rsl2rsl4,131.3
62,HS,DT,S,DT_S,rsl2rsl4,164
63,HS,DT,S,DT_S,rsl2rsl4,138.7
64,HS,DT,S,DT_S,rsl2rsl4,160.5
65,HS,DT,S,DT_S,rsl2rsl4,190.8
66,HS,DT,S,DT_S,rsl2rsl4,128.1
67,HS,DT,S,DT_S,rsl2rsl4,158.9
68,HS,DT,S,DT_S,rsl2rsl4,191.2
69,HS,DT,S,DT_S,rsl2rsl4,93.4
70,HS,DT,S,DT_S,rsl2rsl4,122.7
71,HS,DT,S,DT_S,rsl2rsl4,128.2
72,HS,DT,S,DT_S,rsl2rsl4,148.1
73,HS,DT,S,DT_S,rsl2rsl4,100.1
74,HS,DT,S,DT_S,rsl2rsl4,105.9
75,HS,DT,S,DT_S,rsl2rsl4,107.5
76,HS,DT,S,DT_S,rsl2rsl4,119.4
77,HS,DT,S,DT_S,rsl2rsl4,92
78,HS,DT,S,DT_S,rsl2rsl4,105.2
79,HS,DT,S,DT_S,rsl2rsl4,97.5
80,HS,DT,S,DT_S,rsl2rsl4,113
81,HS,DT,S,DT_S,Col_0,103.4
82,HS,DT,S,DT_S,Col_0,79.5
83,HS,DT,S,DT_S,Col_0,106
84,HS,DT,S,DT_S,Col_0,111.8
85,HS,DT,S,DT_S,Col_0,73.8
86,HS,DT,S,DT_S,Col_0,99.6
87,HS,DT,S,DT_S,Col_0,84.7
88,HS,DT,S,DT_S,Col_0,77.7
89,HS,DT,S,DT_S,Col_0,109.1
90,HS,DT,S,DT_S,Col_0,91.5
91,HS,DT,S,DT_S,Col_0,100.3
92,HS,DT,S,DT_S,Col_0,101.6
93,HS,DT,S,DT_S,Col_0,78.3
94,HS,DT,S,DT_S,Col_0,101.4
95,HS,DT,S,DT_S,Col_0,104.5
96,HS,DT,S,DT_S,Col_0,99.1
97,HS,DT,S,DT_S,Col_0,81
98,HS,DT,S,DT_S,Col_0,112.6
99,HS,DT,S,DT_S,Col_0,70.1
100,HS,DT,S,DT_S,Col_0,112.2
101,HS,WT,S,WT_S,rhd7,152.8
102,HS,WT,S,WT_S,rhd7,208.1
103,HS,WT,S,WT_S,rhd7,211.9
104,HS,WT,S,WT_S,rhd7,217.8
105,HS,WT,S,WT_S,rhd7,202.7
106,HS,WT,S,WT_S,rhd7,157.1
107,HS,WT,S,WT_S,rhd7,225
108,HS,WT,S,WT_S,rhd7,205.2
109,HS,WT,S,WT_S,rhd7,210
110,HS,WT,S,WT_S,rhd7,243.4
111,HS,WT,S,WT_S,rhd7,163.1
112,HS,WT,S,WT_S,rhd7,182.1
113,HS,WT,S,WT_S,rhd7,200.1
114,HS,WT,S,WT_S,rhd7,214
115,HS,WT,S,WT_S,rhd7,211
116,HS,WT,S,WT_S,rhd7,230.6
117,HS,WT,S,WT_S,cpc,182.7
118,HS,WT,S,WT_S,cpc,169.6
119,HS,WT,S,WT_S,cpc,188.9
120,HS,WT,S,WT_S,cpc,148.5
121,HS,WT,S,WT_S,cpc,157.1
122,HS,WT,S,WT_S,cpc,212.7
123,HS,WT,S,WT_S,cpc,212.1
124,HS,WT,S,WT_S,cpc,179.1
125,HS,WT,S,WT_S,cpc,159.1
126,HS,WT,S,WT_S,cpc,188.6
127,HS,WT,S,WT_S,cpc,140.6
128,HS,WT,S,WT_S,cpc,168.8
129,HS,WT,S,WT_S,cpc,242.3
130,HS,WT,S,WT_S,cpc,180.4
131,HS,WT,S,WT_S,cpc,194
132,HS,WT,S,WT_S,cpc,215.7
133,HS,WT,S,WT_S,rsl2rsl4,202.8
134,HS,WT,S,WT_S,rsl2rsl4,169.2
135,HS,WT,S,WT_S,rsl2rsl4,162.4
136,HS,WT,S,WT_S,rsl2rsl4,170.6
137,HS,WT,S,WT_S,rsl2rsl4,217.5
138,HS,WT,S,WT_S,rsl2rsl4,172.6
139,HS,WT,S,WT_S,rsl2rsl4,267.1
140,HS,WT,S,WT_S,rsl2rsl4,152.1
141,HS,WT,S,WT_S,rsl2rsl4,176.4
142,HS,WT,S,WT_S,rsl2rsl4,223.1
143,HS,WT,S,WT_S,rsl2rsl4,138.4
144,HS,WT,S,WT_S,rsl2rsl4,195
145,HS,WT,S,WT_S,rsl2rsl4,176.7
146,HS,WT,S,WT_S,rsl2rsl4,152.2
147,HS,WT,S,WT_S,rsl2rsl4,167.9
148,HS,WT,S,WT_S,rsl2rsl4,187.6
149,HS,WT,S,WT_S,Col_0,216.5
150,HS,WT,S,WT_S,Col_0,262.2
151,HS,WT,S,WT_S,Col_0,230.9
152,HS,WT,S,WT_S,Col_0,203.3
153,HS,WT,S,WT_S,Col_0,245.1
154,HS,WT,S,WT_S,Col_0,249.8
155,HS,WT,S,WT_S,Col_0,259.5
156,HS,WT,S,WT_S,Col_0,180.8
157,HS,WT,S,WT_S,Col_0,253.6
158,HS,WT,S,WT_S,Col_0,263.6
159,HS,WT,S,WT_S,Col_0,171.4
160,HS,WT,S,WT_S,Col_0,245.1
161,HS,WT,S,WT_S,Col_0,214.8
162,HS,WT,S,WT_S,Col_0,208.9
163,HS,WT,S,WT_S,Col_0,246.6
164,HS,WT,S,WT_S,Col_0,195.6
165,HS,WT,S,WT_S,gl2,177.6
166,HS,WT,S,WT_S,gl2,207.3
167,HS,WT,S,WT_S,gl2,188.8
168,HS,WT,S,WT_S,gl2,217.9
169,HS,WT,S,WT_S,gl2,158.4
170,HS,WT,S,WT_S,gl2,178.4
171,HS,WT,S,WT_S,gl2,258.8
172,HS,WT,S,WT_S,gl2,249.9
173,HS,WT,S,WT_S,gl2,155.4
174,HS,WT,S,WT_S,gl2,257.7
175,HS,WT,S,WT_S,gl2,240.3
176,HS,WT,S,WT_S,gl2,216.1
177,HS,WT,S,WT_S,gl2,222.5
178,HS,WT,S,WT_S,gl2,284.6
179,HS,WT,S,WT_S,gl2,225.4
180,HS,WT,S,WT_S,gl2,240.3
